//1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,0,0,0,0,0,0,0,0,0,0,99,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,101,101,0,0,0,0,0,0,0,0,0,100,100,100
100,100,0,0,0,0,21,0,102,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,0,0,0,101,101,101,101,101,103,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,2,0,0,0
101,101,0,0,100,101,101,101,101,101,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,100,100,100,0,0
101,101,0,0,101,101,101,101,101,101,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,101,101,101,0,0
0,0,0,0,101,101,101,101,101,101,0,0,0,0,0,0,0,0,101,2,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,101,101,101,101,101,101,0,0,0,0,28,28,0,23,101,2,0,0,0,100,100,100,0,0,0,0,0,0
0,0,28,0,101,0,0,101,201,101,0,0,0,100,100,100,100,100,101,0,0,0,0,101,101,101,0,0,0,0,0,0
0,0,100,100,100,0,0,101,102,101,0,0,0,101,103,0,0,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,2,0,0,0,0,0,101,25,0,0,101,101,0,0,2,2,0,0,0,0,0,0,0,0,0
100,100,0,0,0,0,0,0,0,0,0,0,0,101,100,0,0,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,101,101,0,0,0,0,0,0,0,0,102,0,0,0,0
0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,101,101,23,0,28,28,0,0,0,102,102,0,0,0,100
200,0,0,100,101,0,0,0,0,0,0,0,0,100,100,100,100,101,101,100,100,100,100,100,100,100,100,100,100,100,100,101
100,100,100,101,101,0,0,0,0,0,0,0,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
101,101,101,101,101,0,0,0,0,0,0,0,0,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
101,101,101,101,101,28,28,28,28,28,28,28,28,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
